code_com,LIBGEO,REG,DEP,HT16,HTCH16,CPG16,CPGE16,CPGEL16,VV16,VVUH16,VVLIT16,RT16,RTUH16,RTLIT16,AJCS16,AJCSUH16,AJCSLIT16
14001,Ablon,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14002,Acqueville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,Agy,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14004,Aignerville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14005,Airan,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14006,Amayé-sur-Orne,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14007,Amayé-sur-Seulles,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14008,Amblie,28,14,0,0,1,25,0,0,0,0,0,0,0,0,0,0
14009,Amfreville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14011,Anctoville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14012,Angerville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14013,Angoville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14014,Anguerny,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14015,Anisy,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14016,Annebault,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14019,Arganchy,28,14,0,0,1,25,0,0,0,0,0,0,0,0,0,0
14020,Argences,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14021,Arromanches-les-Bains,28,14,4,70,1,132,0,0,0,0,0,0,0,0,0,0
14022,Asnelles,28,14,0,0,1,108,0,2,106,378,1,46,138,0,0,0
14023,Asnières-en-Bessin,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14024,Auberville,28,14,1,8,1,82,56,0,0,0,1,101,388,0,0,0
14025,Aubigny,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14026,Audrieu,28,14,1,29,0,0,0,0,0,0,0,0,0,0,0,0
14027,Aunay-sur-Odon,28,14,2,25,1,49,0,0,0,0,0,0,0,0,0,0
14028,Auquainville,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
