code_epci,lib_epci,part_surf_natura_2000,dens_etab_seveso,duree_navettes_dom_travail,part_actifs_emploi_commune_residence,part_deplac_dom_travail_transp_commun,part_deplac_dom_travail_transp_voiture,nb_arretes_catastrophe_naturelle,part_pop_risque_inondation,surf_herbe
200000628,CC Rhône Lez Provence,9.8270,6.6618,32.7077,34.7,2.2689,86.9136,25,45.1203,23.86
200004802,CC du FM de Fayence,13.0444,0.0000,45.3608,32.5,1.1682,87.5928,38,7.5929,4102.96
200027100,CC Méditerranée Porte des Maures,31.8795,0.0000,40.8581,42.7,2.3911,79.5205,43,33.3814,440.56
200030195,Métropole Nice Côte d'Azur,33.0510,2.0466,52.7012,59.0,18.2541,58.1759,457,41.0924,14927.39
200034700,CA Durance-Lubéron-Verdon Agglomération,49.3214,2.3853,37.6239,43.7,4.2435,81.6073,42,18.5318,7419.59
200035087,CA Terre de Provence,13.1935,0.0000,30.3395,31.9,1.5108,85.6743,38,56.5671,1633.91
200035319,CA Var Esterel Méditerranée (Cavem),32.7991,5.7617,39.1455,52.4,2.9711,81.4587,55,33.0653,256.43
200035723,CC Ventoux Sud,5.0404,0.0000,41.6161,47.6,1.7804,70.0921,23,4.7700,954.21
200036077,CC du Golfe de Saint-Tropez,10.7190,0.0000,30.1760,55.1,1.3770,73.0829,97,22.4871,1557.85
200039857,CA du FM de Grasse,8.7114,12.2484,44.2827,35.5,4.4032,82.4241,115,7.8444,7133.64
200039915,CA Cannes FM de Lérins,2.4413,0.0000,38.8202,46.1,9.4060,67.0623,89,25.2232,9.87
200039931,CC Alpes d'Azur,46.4516,0.0000,67.8947,41.4,3.4824,74.1904,36,19.9979,16710.96
200040202,CC Provence Verdon,9.1524,0.0000,50.6861,30.2,1.4688,85.9553,26,6.4879,3952.95
200040210,CC Lacs et Gorges du Verdon,4.1486,0.0000,56.5705,48.1,1.6374,75.6907,26,18.1714,3441.38
200040442,CA Luberon Monts de Vaucluse,37.3567,0.0000,37.4311,42.3,2.2873,83.2094,45,51.9065,789.09
200040624,CC FM d'Apt-Luberon,15.5078,0.0000,36.2938,49.4,1.7701,79.4847,86,0.0642,1953.57
200040681,CC Enclave des Papes-FM de Grignan,0.0000,0.0000,34.4714,49.8,0.8679,82.1396,6,64.2507,27.01
200054807,Métropole d'Aix-Marseille-Provence,32.6492,13.6542,42.8446,58.5,15.1438,69.3418,573,9.9329,33566.56
