Code,Communes,Part_des_menages
02001,Abbécourt,7.5
02002,Achery,10
02003,Acy,5.3
02004,Agnicourt-et-Séchelles,9.5
02005,Aguilcourt,5.4
02006,Aisonville-et-Bernoville,0
02007,Aizelles,8.3
02008,Aizy-Jouy,3.4
02009,Alaincourt,8.2
02010,Allemant,0
02011,Ambleny,6.3
02012,Ambrief,16.7
02013,Amifontaine,0
02014,Amigny-Rouy,2.9
02015,Ancienville,14.3
02016,Andelain,0
02017,Anguilcourt-le-Sart,0
02018,Anizy-le-Château,11.1
02019,Annois,2.6
02020,Any-Martin-Rieux,4.1
02021,Archon,0
02022,Arcy-Sainte-Restitue,0
02023,Armentières-sur-Ourcq,10
02024,Arrancy,0
02025,Artemps,15.6
02026,Artonges,5.6
02027,Assis-sur-Serre,5.3
02028,Athies-sous-Laon,7.9
02029,Attilly,6.9
02030,Aubencheul-aux-Bois,13.8
02031,Aubenton,12.5
02032,Aubigny-aux-Kaisnes,4.5
02033,Aubigny-en-Laonnois,16.7
02034,Audignicourt,0
02035,Audigny,0
02036,Augy,0
02037,Aulnois-sous-Laon,12.9
02038,Les Autels,0
02039,Autremencourt,5.9
02040,Autreppes,0
02041,Autreville,5
02042,Azy-sur-Marne,4.9
02043,Bagneux,20
02044,Bancigny,0
02046,Barenton-Bugny,11.9
02047,Barenton-Cel,15.4
02048,Barenton-sur-Serre,0
02049,Barisis-aux-Bois,6.6
02050,Barzy-en-Thiérache,9.7
02051,Barzy-sur-Marne,3
02052,Bassoles-Aulers,6.7
02053,Baulne-en-Brie,13.3
02054,Bazoches-sur-Vesles,4.7
02055,Beaumé,10
02056,Beaumont-en-Beine,0
02057,Beaurevoir,9.5
02058,Beaurieux,8.1
02059,Beautor,10.4
02060,Beauvois-en-Vermandois,7.1
02061,Becquigny,8.3
02062,Belleau,7.7
02063,Bellenglise,0
02064,Belleu,9.8
02065,Bellicourt,4.8
02066,Benay,0
02067,Bergues-sur-Sambre,4.3
02068,Berlancourt,12.5
02069,Berlise,16.7
02070,Bernot,6.4
02071,Berny-Rivière,6.3
02072,Berrieux,15
02073,Berry-au-Bac,9.3
02074,Bertaucourt-Epourdon,8.5
02075,Berthenicourt,0
02076,Bertricourt,0
02077,Berzy-le-Sec,5
02078,Besmé,6.7
02079,Besmont,6.3
02080,Besny-et-Loizy,3.5
02081,Béthancourt-en-Vaux,12.8
02082,Beugneux,0
02083,Beuvardes,8.6
02084,Bézu-le-Guéry,3.8
02085,Bézu-Saint-Germain,9.6
02086,Bichancourt,6
02087,Bieuxy,0
02088,Bièvres,14.3
02089,Billy-sur-Aisne,4.9
02090,Billy-sur-Ourcq,10.5
02091,Blanzy-lès-Fismes,0
02093,Blérancourt,9.3
02094,Blesmes,0
02095,Bohain-en-Vermandois,11.3
02096,Bois-lès-Pargny,5.3
02097,Boncourt,4
02098,Bonneil,5.3
02099,Bonnesvalyn,0
02100,Bony,10
02101,Bosmont-sur-Serre,5
02102,Bouconville-Vauclair,5.3
02103,Boué,9.8
02104,Bouffignereux,0
02105,Bouresches,5.6
02106,Bourg-et-Comin,8.5
02107,Bourguignon-sous-Coucy,22.2
02108,Bourguignon-sous-Montbavin,14.3
02109,La Bouteille,12
02110,Braine,9.2
02111,Brancourt-en-Laonnois,10.1
02112,Brancourt-le-Grand,8.5
02114,Brasles,4.4
02115,Braye-en-Laonnois,0
02116,Braye-en-Thiérache,0
02117,Bray-Saint-Christophe,25
02118,Braye,15.4
02119,Brécy,9.1
02120,Brenelle,11.1
02121,Breny,12.5
02122,Brie,14.3
02123,Brissay-Choigny,9.7
02124,Brissy-Hamégicourt,4.3
